"School","Tot_Exp","Dis_Stu","Meal_Elig","AstELA_Prof","AstMath_Prof","ELA_Prof","Math_Prof"
"Aloha-Huber1819",12632610.1525849,130,701,"273","260",273,260
"Barnes1819",8792172.2866751,94,410,"109","57",109,57
"Beaver1819",9899004.20493614,123,371,"172","141",172,141
"Bethany1819",6696405.81483466,64,76,"214","198",214,198
"Bonny1819",8159241.22595031,53,66,"276","269",276,269
"Cedar1819",5682891.68986546,43,54,"157","143",157,143
"Chehalem1819",7898631.47671255,85,295,"105","90",105,90
"Cooper1819",7178192.5198715,67,82,"163","145",163,145
"Elmonica1819",9511352.94874001,80,336,"186","159",186,159
"Errol1819",6810338.07070274,83,169,"140","122",140,122
"Findley1819",8817526.85643907,43,39,"367","358",367,358
"Fir1819",6306070.12384054,54,189,"115","84",115,84
"Greenway1819",6022002.05468026,63,221,"67","50",67,50
"Hazeldale1819",7724995.26344124,96,233,"138","105",138,105
"Hiteon1819",9241286.13867193,113,182,"220","218",220,218
"Jacob1819",9334172.81879009,44,40,"355","350",355,350
"Kinnaman1819",10407797.7697279,119,432,"172","123",172,123
"McKay1819",5407526.13782392,80,169,"63","52",63,52
"McKinley1819",9162499.35999065,74,341,"118","84",118,84
"Montclair1819",4529156.67286652,37,68,"125","99",125,99
"Nancy1819",7379215.11735473,66,125,"237","196",237,196
"Oak1819",7717841.46076007,63,92,"219","188",219,188
"RaleighHills1819",8653730.4798979,105,238,"207","168",207,168
"ReleighPark1819",5970724.44784649,67,142,"125","106",125,106
"Ridgewood1819",6782237.53072669,75,82,"155","140",155,140
"Rock1819",7419736.74650217,57,122,"215","195",215,195
"Sato1819",2683854.40690443,44,81,"232","238",232,238
"Scholls1819",7997753.23542305,91,95,"209","195",209,195
"Sexton1819",7434903.15191764,66,97,"188","189",188,189
"Springville1819",11208460.3690402,96,138,"377","374",377,374
"Terra1819",5691396.10948378,62,124,"122","107",122,107
"Vose1819",9588145.37277348,72,504,"156","142",156,142
"West1819",5521966.56830182,67,37,"131","121",131,121
"William1819",7775287.27109481,68,424,"64","60",64,60
"Aloha-Huber2021",12877121.5753155,127,635,"249*","237*",249,237
"Barnes2021",7656996.49332887,78,331,"90*","47*",90,47
"Beaver2021",11114001.780367,129,371,"7","156*",7,156
"Bethany2021",6465262.70774643,59,73,"19","26",19,26
"Bonny2021",8102428.40324146,52,74,"21","18",21,18
"Cedar2021",5364717.63809324,35,43,"22","20",22,20
"Chehalem2021",7218283.96723837,68,244,"90*","77*",90,77
"Cooper2021",6050854.47820042,59,64,"10","13",10,13
"Elmonica2021",6907531.23776501,47,218,"10","11",10,11
"Errol2021",5156132.74447936,54,120,"103*","5",103,5
"Findley2021",7070379.36527234,28,30,"49","49",49,49
"Fir2021",5615164.95913984,58,160,"14","4",14,4
"Greenway2021",5786872.40089254,58,205,"3","46*",3,46
"Hazeldale2021",7032348.7166268,92,206,"6","101*",6,101
"Hiteon2021",7997195.54072516,98,141,"15","15",15,15
"Jacob2021",8920616.34350683,39,35,"48","50",48,50
"Kinnaman2021",9338558.65509159,105,336,"144*","103*",144,103
"McKay2021",5466262.37837961,76,150,"62*","51*",62,51
